CID,Syn
1256,4-(prop-1-en-2-yl)cyclohex-1-ene-1-carboxylic acid
1256,"1-Cyclohexene-1-carboxylic acid, 4-(1-methylethenyl)-"
1256,C078706
1256,SR-01000076076
1256,SR-01000076076-1
1256,SR-01000076076-5
1256,SR-01000076076-6
1256,"1-Cyclohexene-1-carboxylicacid, 4-(1-methylethenyl)-"
1256,Q27104388
1256,1A4758DA-6365-4FD5-BAEA-16032D3488FF
1256,"5-AMINO-1H-PYRAZOLE-1,3-DICARBOXYLICACIDETHYLMETHYLESTER"
1256,32676-16-7
1256,78081-81-9
1257,QUINPIROLE
1257,Quinpirole dihydrochloride
1257,AC1L1B2N
1257,(4aR-trans)-; (-)-Quinpirole
1257,CHEMBL192481
1257,SCHEMBL9169887
1257,BDBM81873
1257,CHEBI:91928
1257,CTK6E4814
1257,CID1257
1257,(A+/-)-Quinpirole dihydrochloride
1257,CAS_55397
1257,NSC_55397
1257,NCGC00016954-03
1257,NCGC00016954-04
1257,NCGC00024974-02
1257,NCGC00024974-03
1257,NCGC00024974-04
1257,LY-171555
1257,FT-0652184
1257,FT-0701235
1257,L000007
1257,BRD-A85280935-003-01-7
1257,Q27163727
1257,"5-propyl-1,4,4a,6,7,8,8a,9-octahydropyrazolo[3,4-g]quinoline"
1257,"5-Propyl-4,4a,5,6,7,8,8a,9-octahydro-1H-pyrazolo[3,4-g]quinoline"
1257,80373-22-4
1257,85760-74-3
1258,Hyoscine N-oxide
1258,Genoscopolamine
1258,Oxicopolamine
1258,Scolamine
1258,Scopodex
1258,Seamalin
1258,Seronex
1258,Scolen
1258,Scopolamine N-oxide
1258,hyoscine-N-oxide
1258,Hyoscinamide oxide
1258,Hyoscinamine oxide
1258,Hyoscineamine oxide
1258,Scopolamine aminoxide
1258,AC1L1B2Q
1258,SCHEMBL221059
1258,C17H21NO5
1258,CTK5H9504
1258,CID1258
1258,UNII-0I3054Z711
1258,AC1Q2240
1258,NSC61807
1258,EINECS 202-606-2
1258,AR-1H5891
1258,C17-H21-N-O5
1258,AKOS030254839
1258,NS00078806
1258,NS00081500
1258,97-75-6
1258,"9-methyl-9-oxido-3-oxa-9-azatricyclo[3.3.1.0~2,4~]non-7-yl 3-hydroxy-2-phenylpropanoate"
1258,6106-81-6
1258,"9-hydroxy-9-methyl-3-oxa-95-azatricyclo[3.3.1.0~2,4~]non-7-yl tropate"
1258,"6-beta,7-beta-epoxy-1-alpha H,5-alpha H-tropan-3-alpha-ol (-)-tropate 8-oxide"
1258,"(9-methyl-9-oxido-3-oxa-9-azoniatricyclo[3.3.1.02,4]nonan-7-yl) 3-hydroxy-2-phenylpropanoate"
1258,"[7(S)-(1a,2ss,4ss,5a,7ss)]-9-methyl-3-oxa-9-azatricyclo[3.3.1.02,4]non-7-yl (hydroxymethyl)phenylacetate N-oxide hydrobromide"
1258,1219532-34-9
1258,5433-11-4
1258,"7-((3-Hydroxy-2-phenylpropanoyl)oxy)-9-methyl-3-oxa-9-azatricyclo[3.3.1.02,4]nonane 9-oxide"
1259,AC1L1B2T
1259,CID1259
1259,"4-amino-N-[2-(5,8-dioxo-6-propan-2-yl-14-oxa-4,7-diazabicyclo[13.2.2]nonadeca-1(17),15,18-trien-3-yl)-2-hydroxyethyl]-N-(3-methylbutyl)benzenesulfonamide"
1259,PI9
1260,AC1L1B2W
1260,CID1260
1260,1-(4-butoxyphenyl)sulfonyl-N-hydroxy-4-(methanesulfonamido)pyrrolidine-2-carboxamide
1260,(1n)-4-n-butoxyphenylsulfonyl-(2r)-n-hydroxycarboxamido-(4s)-methanesulfonylamino-pyrrolidine
1261,AC1L1B2Z
1261,CHEMBL3577647
1261,CID1261
1261,3-[2-borono-2-[(2-phenylacetyl)amino]ethyl]benzoic acid
1261,(1r)-2-phenylacetamido-2-(3-carboxyphenyl)ethyl boronic acid
1263,D0F0UA
1263,AC1L1B35
1263,CTK8A8774
1263,CID1263
1263,MCI
1263,(2-mercaptomethyl-4-phenyl-butyrylimino)-(5-tetrazol-1-ylmethyl-thiophen-2-yl)-acetic acid
1263,2-[4-phenyl-2-(sulfanylmethyl)butanoyl]imino-2-[5-(tetrazol-1-ylmethyl)thiophen-2-yl]acetic acid
1264,AC1L1B38
1264,CID1264
1264,AR-1-144
1264,TRI-IMIDAZOLE DNA MINOR GROOVE BINDER
1264,10160-EP2272827A1
1264,10160-EP2272828A1
1264,10160-EP2272841A1
1264,10160-EP2275409A1
1264,10160-EP2280005A1
1264,10160-EP2281823A2
1264,10160-EP2284920A1
1264,10160-EP2287165A2
1264,10160-EP2287166A2
1264,10160-EP2289884A1
1264,10160-EP2292602A1
1264,10160-EP2292603A1
1264,10160-EP2292604A2
1264,10160-EP2292620A2
1264,10160-EP2298737A1
1264,10160-EP2298739A1
1264,10160-EP2298740A1
1264,10160-EP2298741A1
1264,10160-EP2298774A1
1264,10160-EP2298778A1
1264,10160-EP2299509A1
1264,10160-EP2301921A1
1264,10160-EP2301926A1
1264,10160-EP2301936A1
1264,10160-EP2305769A2
1264,10160-EP2308843A1
1264,10160-EP2309584A1
1264,10160-EP2311828A1
1264,10160-EP2311836A1
1264,10160-EP2314558A1
1264,10160-EP2316452A1
1264,10160-EP2316836A1
1264,10160-EP2371810A1
1264,10160-EP2372804A1
1264,10160-EP2378585A1
1264,Q27457863
1264,AR1
1264,TRI-IMIDAZOLE DNA MINOR GROOVE BINDER; AR-1-144
1264,H-IMIDAZOLE-2-CARBONYL]-AMINO}-ETHYL)-DIMETHYL-AMMONIUM
1264,(2-{[4-({4-[(4-formylamino-1-methyl-1h-imidazole-2-carbonyl)-amino]-1-methyl-1h-imidazole-2-carbonyl}-amino)-1-methyl-1h-imidazole-2-carbonyl]-amino}-ethyl)-dimethyl-ammonium
1264,(2-{[4-({4-[(4-FORMYLAMINO-1-METHYL-1H-IMIDAZOLE-2-CARBONYL)-AMINO]-1-METHYL-1H-IMIDAZOLE-2-CARBONYL}-AMINO)-1-METHYL-1
1264,(2-{[4-({4-[(4-FORMYLAMINO-1-METHYL-1H-IMIDAZOLE-2-CARBONYL)-AMINO]-1-METHYL-1H-IMIDAZOLE-2-CARBONYL}-AMINO)-1-METHYL-1 H-IMIDAZOLE-2-CARBONYL]-AMINO}-ETHYL)-DIMETHYL-AMMONIUM
1264,"2-({[4-({[4-({[4-(formylamino)-1-methyl-1H-imidazol-2-yl]carbonyl}amino)-1-methyl-1H-imidazol-2-yl]carbonyl}amino)-1-methyl-1H-imidazol-2-yl]carbonyl}amino)-N,N-dimethylethanaminium"
1264,2-[[4-[[4-[(4-formamido-1-methylimidazole-2-carbonyl)amino]-1-methylimidazole-2-carbonyl]amino]-1-methylimidazole-2-carbonyl]amino]ethyl-dimethylazanium
1265,ETHYL HEXANOATE
1265,AC1Q5GRJ
1265,AC1L1B3B
1265,CHEMBL167216
1265,CID1265
1265,DTXSID40933020
1265,CID 1265
1265,AR-1K4519
1265,147056-66-4
1265,n-{2-[(2-{[2-(dimethylamino)ethyl]carbamoyl}-1-methyl-1h-imidazol-4-yl)carbamoyl]-1-methyl-1h-imidazol-4-yl}-4-(formylamino)-1-methyl-1h-imidazole-2-carboxamide
1265,[2-({2-[(2-{[2-(Dimethylamino)ethyl]carbamoyl}-1-methyl-1H-imidazol-4-yl)carbamoyl]-1-methyl-1H-imidazol-4-yl}carbamoyl)-1-methyl-1H-imidazol-4-yl]methanimidic acid
1265,123-66-0
1265,25546-05-8
1265,N-(2-(((2-(Dimethylamino)ethyl)amino)carbonyl)-1-methyl-1H-imidazol-4-yl)-4-(((4-(formylamino)-1-methyl-1H-imidazol-2-yl)carbonyl)amino)-1-methyl-1H-imidazole-2-carboxamide
1265,N-[2-(Dimethylamino)ethyl]-1-methyl-4-[1-methyl-4-[1-methyl-4-(formylamino)-1H-imidazole-2-ylcarbonylamino]-1H-imidazole-2-ylcarbonylamino]-1H-imidazole-2-carboxamide
1265,N-[2-[[2-(2-dimethylaminoethylcarbamoyl)-1-methylimidazol-4-yl]carbamoyl]-1-methylimidazol-4-yl]-4-formamido-1-methylimidazole-2-carboxamide
1266,1ld8
1266,COMPOUND 49
1266,AC1L1B3E
1266,CID1266
1266,CID 1266
1266,AZA-CYCLOOCTADECOSINE-9-CARBONITRILE
1266,"(20S)-19,20,21,22-TETRAHYDRO-19-OXO-5H-18,20-ETHANO-12,14-ETHENO-6,10-METHENO-18H-BENZ[D]IMIDAZO[4,3-K][1,6,9,12]OXATRI"
1266,"(20s)-19,20,21,22-tetrahydro-19-oxo-5h-18,20-ethano-12,14-etheno-6,10-metheno-18h-benz[d]imidazo[4,3-k][1,6,9,12]oxatriaza-cyclooctadecosine-9-carbonitrile"
1266,"(5R)-30-oxo-19-oxa-2,6,10,12-tetraazahexacyclo[18.6.2.1~2,5~.1~14,18~.0~8,12~.0~23,27~]triaconta-1(27),8,10,14(29),15,17,20(28),21,23,25-decaene-17-carbonitrile (non-preferred name)"
1266,U49
1267,AC1L1B3H
1267,CHEMBL80702
1267,CID1267
1267,CID 1267
1268,AC1L1B3K
1268,CTK7G4146
1268,CID1268
1268,"2-[2-(benzylamino)-2-oxo-1-[(2-phenylacetyl)amino]ethyl]-5,5-dimethyl-1,3-thiazolidine-4-carboxylic acid"
1268,"2-{2-(benzylamino)-2-oxo-1-[(phenylacetyl)amino]ethyl}-5,5-dimethyl-1,3-thiazolidine-4-carboxylic acid"
1268,G23
1269,AC1L1B3N
1269,CID1269
1269,CID 1269
1269,N-[1-(1H-Imidazole-2-yl)-2-methylpropyl]-2-benzyl-4-hydroxy-5-[(tert-butoxycarbonyl)amino]-6-phenylhexanamide
1269,tert-butyl N-[5-benzyl-3-hydroxy-6-[[1-(1H-imidazol-2-yl)-2-methylpropyl]amino]-6-oxo-1-phenylhexan-2-yl]carbamate
1270,Nitrobestatin
1270,AC1L1B3Q
1270,CID1270
1270,2-[[3-amino-2-hydroxy-4-(4-nitrophenyl)butanoyl]amino]-4-methylpentanoic acid
1271,L-Ccg-I
1271,CCPG
1271,"3,4-Cyclopropylglutamate"
1271,L-CCG III
1271,L-2-(Carboxypropyl)glycine
1271,L-CCG I
1271,2-(Carboxycyclopropyl)glycine
1271,(alpha-Carboxycyclopropyl)glycine
1271,alpha-(Carboxycyclopropyl)glycine
1271,AC1L1B3T
1271,C6H9NO4
1271,AC1Q5S39
1271,SCHEMBL10379762
1271,2-(2-Carboxycyclopropyl)glycine
1271,CTK4E9018
1271,CID1271
1271,DTXSID20944912
1271,CHEBI:173420
1271,GZOVEPYOCJWRFC-UHFFFAOYSA-N
1271,C6-H9-N-O4
1271,alpha-Amino-2-carboxycyclopropaneacetic acid
1271,AR-1I3320
1271,"Cyclopropaneacetic acid, alpha-amino-2-carboxy-"
1271,PDSP1_000810
1271,PDSP2_000797
1271,2-[amino(carboxy)methyl]cyclopropane-1-carboxylic acid
1271,"Cyclopropaneaceticacid, a-amino-2-carboxy-"
1271,22255-17-0
1271,L-trans-alpha-Amino-2-carboxycyclopropaneacetic acid
1271,LS-173938
1271,RT-013515
1271,FT-0694129
1271,"1-Naphthol-3,8-disulfonic acid disodium salt"
1271,2-(amino(carboxy)methyl)cyclopropane-1-carboxylic acid
1271,L000347
1271,2-(amino(carboxy)methyl)cyclopropanecarboxylic acid
1271,2-[amino(carboxy)methyl]cyclopropanecarboxylic acid
1271,117857-93-9
1271,117857-95-1
1271,2-(1-amino-2-hydroxy-2-oxoethyl)cyclopropane-1-carboxylic acid
1271,22799-11-7
1272,AC1L1B3W
1272,CTK6C7543
1272,CID1272
1272,3-formyl-2-({[(4-methylphenyl)sulfonyl]amino}methyl)pentanoic acid
1272,3-formyl-2-[[(4-methylphenyl)sulfonylamino]methyl]pentanoic acid
1272,TPX
1273,AC1L1B3Z
1273,CID1273
1273,3-formyl-2-[[(4-nitrophenyl)sulfonylamino]methyl]pentanoic acid
1273,"(2s,3s)-3-formyl-2-({[(4-nitrophenyl)sulfonyl]amino}methyl)pentanoic acid"
1274,"Tetradeca-3,5-dien-2-amine"
1274,"2-amino-3,5-tetradecadiene"
1274,AC1L1B42
1274,CTK6D8143
1274,CID1274
1275,AC1L1B45
1275,CID1275
1275,(3s)-n-methanesulfonyl-3-({1-[n-(2-naphtoyl)-l-valyl]-l-prolyl}amino)-4-oxobutanamide
1275,"N-[4-(methanesulfonamido)-1,4-dioxobutan-2-yl]-1-[3-methyl-2-(naphthalene-2-carbonylamino)butanoyl]pyrrolidine-2-carboxamide"
1276,AC1L1B48
1276,CHEMBL153109
1276,CTK6D0539
1276,CID1276
1276,3-ethyl-1-(4-methylphenyl)sulfonyl-4-oxoazetidine-2-carboxylic acid
1276,3-ethyl-1-(4-methylphenyl)sulfonyl-4-oxo-azetidine-2-carboxylic Acid
1276,3-ethyl-1-[(4-methylphenyl)sulfonyl]-4-oxoazetidine-2-carboxylic acid
1277,AC1L1B4B
1277,CHEMBL1161587
1277,CID1277
1277,"[5-acetamido-4-hydroxy-6-(1,2,3-trihydroxypropyl)oxan-2-yl]phosphonic acid"
1277,EQP
1278,AC1L1B4E
1278,CTK7F5335
1278,CID1278
1278,(4-benzyl-piperidin-1-yl)-(5-amidinomethyl-3ah-indol-2-yl-methanone
1278,Q27458510
1278,amino{2-[(4-benzylpiperidin-1-yl)carbonyl]-3aH-indol-5-yl}methaniminium
1278,[amino-[2-(4-benzylpiperidine-1-carbonyl)-3aH-indol-5-yl]methylidene]azanium
1278,BPP
1279,AC1L1B4H
1279,CTK7F5336
1279,CID1279
1279,2-(4-benzylpiperidine-1-carbonyl)-3aH-indole-5-carboximidamide
1279,2-[(4-benzylpiperidin-1-yl)carbonyl]-3ah-indole-5-carboximidamide
1280,AC1L1B4K
1280,SCHEMBL22372488
1280,CTK6I4786
1280,CID1280
1280,"6-methyl-4-(methylamino)-5,6-dihydro-4H-thieno[2,3-b]thiopyran-2-sulfonamide 7,7-dioxide"
1280,"6-methyl-4-(methylamino)-7,7-dioxo-5,6-dihydro-4H-thieno[2,3-b]thiopyran-2-sulfonamide"
1280,"4-methyl-2-methylamino-5,5-dioxo-5$l^{6},7-dithiabicyclo[4.3.0]nona-8,10-diene-8-sulfonamide"
1281,HEMI-BABIM
1281,AC1L1B4N
1281,CTK7D1812
1281,CID1281
1281,(5-amidino-2-benzimidazolyl)(2-benzimidazolyl)methane
1281,BAI
1281,amino[2-(1h-benzimidazol-2-ylmethyl)-1h-benzimidazol-6-yl]methaniminium
1281,[amino-[2-(1H-benzimidazol-2-ylmethyl)-3H-benzimidazol-5-yl]methylidene]azanium
1282,HEMI-BABIM
1282,1c1r
1282,1c1u
1282,CHEMBL46148
1282,D02KKL
1282,AC1L1B4Q
1282,APD-1
1282,SCHEMBL6163820
1282,BDBM16303
1282,CTK7D1925
1282,CID1282
1282,ZINC2047318
1282,DB01767
1282,NS00068902
1282,(5-amidino-2-benzimidazolyl)(2-benzimidazolyl)methane
1282,Q27092919
1282,2-(1H-Benzoimidazole-2-ylmethyl)-6-amidino-1H-benzoimidazole
1282,2-(1H-benzimidazol-2-ylmethyl)-1H-benzimidazole-5-carboximidamide
1282,2-(1H-benzimidazol-2-ylmethyl)-1H-benzimidazole-6-carboximidamide
1282,2-(1H-benzimidazol-2-ylmethyl)-3H-benzimidazole-5-carboximidamide
1282,2-(1H-benzoimidazol-2-ylmethyl)-3H-benzoimidazole-5-carboximidamide
1282,"2-(1H-1,3-benzodiazol-2-ylmethyl)-1H-1,3-benzodiazole-6-carboximidamide"
1283,5-Iodouracil
1283,"5-Iodo-5,6-dihydrouracil"
1283,AC1Q6GJU
1283,"5-iodo-1,3-diazinane-2,4-dione"
1283,AC1L1B4T
1283,SCHEMBL4997881
1283,CTK5B2208
1283,CID1283
1283,DTXSID60976237
1283,"5-iodopyrimidine-2,4(1H,3H)-dione"
1283,"5-iododihydropyrimidine-2,4(1h,3h)-dione"
1283,AR-1G8599
1283,"5-Iodo-2,4(1H,3H)-pyrimidinedione"
1283,RTR-032057
1283,TRA0009814
1283,"5-Iodo-5,6-dihydropyrimidine-2,4-diol"
1283,60763-80-6
1283,696-07-1
1283,ST2418800
1283,TR-032057
1283,"2,4(1H,3H)-Pyrimidinedione,dihydro-5-iodo-"
1283,"2,4(1H,3H)-Pyrimidinedione, dihydro-5-iodo-"
1283,62533-90-8
1283,IDH
1284,AC1L1B4W
1284,CTK6E5539
1284,CID1284
1284,propyl 6-(1-acetyloxyethyl)-7-oxo-4-thia-1-azabicyclo[3.2.0]hept-2-ene-2-carboxylate
1284,propyl 6-[1-(acetyloxy)ethyl]-7-oxo-4-thia-1-azabicyclo[3.2.0]hept-2-ene-2-carboxylate
1284,1PN
1285,Lobohedleolide
1285,ANISOMELIC ACID
1285,AC1L1B4Z
1285,CTK6B3058
1285,CID1285
1285,CHEBI:182281
1285,"6,14-dimethyl-3-methylidene-2-oxo-3a,4,5,8,9,12,13,15a-octahydrocyclotetradeca[b]furan-10-carboxylic acid"
1285,"(6E,10Z,14Z)-6,14-dimethyl-3-methylidene-2-oxo-3a,4,5,8,9,12,13,15a-octahydrocyclotetradeca[b]furan-10-carboxylic acid"
1285,59632-76-7
1285,"6,14-dimethyl-3-methylidene-2-oxo-2,3,3a,4,5,8,9,12,13,15a-decahydrocyclotetradeca[b]furan-10-carboxylic acid"
